request_id,polymer_class,smiles,tg_celsius
gen_0000,polyimides,*OCCOC(=O)c1ccc(C(=O)*)cc1,45.0
gen_0000,polyimides,*CCCCCCN1C(=O)c2ccc(cc2C1=O)*,90.0
gen_0000,polyimides,*CCCCCCCCCCN1C(=O)c2ccc(cc2C1=O)*,65.0
gen_0000,polyimides,*CCCCCCCCN1C(=O)c2ccc(cc2C1=O)*,75.0
gen_0000,polyimides,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,220.0
gen_0000,polyimides,*N1C(=O)c2ccc(Oc3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2C1=O,195.0
gen_0000,polyimides,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,285.0
gen_0000,polyimides,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)(C)C)cc2C1=O,265.0
gen_0000,polyimides,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,310.0
gen_0000,polyimides,*N1C(=O)c2ccc(S(=O)(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,267.0
gen_0000,polyimides,*N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,253.0
gen_0000,polyimides,*N1C(=O)c2ccc(Cc3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,232.0
gen_0000,polyimides,*N1C(=O)c2cc3c(cc2C1=O)C(=O)N(*)C3=O,405.0
gen_0000,polyimides,*N1C(=O)c2ccccc2C1=O,425.0
gen_0000,polyimides,*Oc1ccc(Oc2ccc3c(c2)C(=O)N(*)C3=O)cc1,240.0
gen_0000,polyimides,*N1C(=O)c2ccc(cc2C1=O)-c1ccc(N2C(=O)c3ccc(cc3C2=O)*)cc1,310.0
gen_0000,polyimides,*c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(*)cc4)C5=O)cc3C2=O)cc1,340.0
gen_0000,polyimides,*N1C(=O)c2ccc3c(c2C1=O)C(=O)N(*)C3=O,397.0
gen_0000,polyimides,*N1C(=O)c2ccc(Oc3ccccc3)cc2C1=O,250.0
gen_0000,polyimides,*N1C(=O)c2cc(C(F)(F)F)c(cc2C1=O)C(F)(F)F,340.0
gen_0000,polyimides,*N1C(=O)c2ccc(Oc3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2C1=O,233.0
gen_0000,polyimides,*N1C(=O)c2cc(C(C)(C)c3cc4c(cc3*)C(=O)N4*)ccc2C1=O,300.0
gen_0000,polyimides,*N1C(=O)c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2C1=O,300.0
gen_0000,polyimides,*N1C(=O)c2ccc(C(CCCCCC)(c3ccc4c(c3)C(=O)N(*)C4=O)C)cc2C1=O,210.0
gen_0000,polyimides,*OCCCCOC(=O)c1ccc(C(=O)*)cc1,30.0
gen_0000,polyimides,*CCCCCCCCCCCCN1C(=O)c2ccc(cc2C1=O)*,55.0
gen_0000,polyimides,*N1C(=O)c2ccc(cc2C1=O)Oc1ccc(C(C)(C)c2ccc(Oc3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,210.0
gen_0000,polyimides,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)(c3ccccc3)c3ccccc3)cc2C1=O,295.0
gen_0000,polyimides,*N1C(=O)c2cc3c4c(cc2C1=O)C(=O)N(*)C4=O)cc3,400.0
gen_0000,polyimides,*N1C(=O)c2ccc(Oc3ccc(Oc4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4)cc3)cc2C1=O,180.0
gen_0000,polyimides,*N1C(=O)c2ccc(-c3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2C1=O,250.0
gen_0000,polyimides,*N1C(=O)c2ccc(N(c3ccccc3)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,270.0
gen_0000,polyimides,*N1C(=O)c2cc(OC)c(cc2C1=O)C(=O)N(*),280.0
gen_0000,polyimides,*N1C(=O)c2ccc(cc2C1=O)C(F)(F)F,320.0
gen_0000,polyimides,*N1C(=O)c2ccc(C(C)(C)C)cc2C1=O,255.0
gen_0000,polyimides,*CCCCN1C(=O)c2ccc(cc2C1=O)*,130.0
gen_0000,polyimides,*CCCCCN1C(=O)c2ccc(cc2C1=O)*,105.0
gen_0000,polyimides,*N1C(=O)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4)cc3)cc2C1=O,215.0
gen_0000,polyimides,*N1C(=O)c2ccc(cc2C1=O)-c1ccc(-c2ccc3c(c2)C(=O)N(*)C3=O)cc1,330.0
gen_0000,polyimides,*N1C(=O)c2ccc(C(=O)Oc3ccccc3)cc2C1=O,260.0
gen_0000,polyimides,*N1C(=O)c2cc(F)c(F)cc2C1=O,350.0
gen_0000,polyimides,*N1C(=O)c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,245.0
gen_0000,polyimides,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)(C)c3ccc(C)cc3)cc2C1=O,280.0
gen_0000,polyimides,*N1C(=O)c2ccc(cc2C1=O)Sc1ccc2c(c1)C(=O)N(*)C2=O,260.0
gen_0000,polyimides,*N1C(=O)c2ccc(OCCCCOc3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,150.0
gen_0000,polyimides,*N1C(=O)c2ccc(cc2C1=O)OCCOc1ccc2c(c1)C(=O)N(*)C2=O,165.0
gen_0000,polyimides,*N1C(=O)c2ccc(cc2C1=O)C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3,240.0
gen_0000,polyimides,*N1C(=O)c2ccc(cc2C1=O)C(C)(C)c1ccc(C(C)(C)c2ccc3c(c2)C(=O)N(*)C3=O)cc1,200.0
gen_0000,polyimides,*N1C(=O)c2ccc(-c3nc4cc5c(cc4nc3-c3ccc4c(c3)C(=O)N(*)C4=O)C(=O)N*C5=O)cc2C1=O,380.0
gen_0001,polyesters,*CCCCCCOC(=O)CCCCC(=O)O*,-60.0
gen_0001,polyesters,*CCCCCCCCOC(=O)CCCCCCCC(=O)O*,-70.0
gen_0001,polyesters,*CCCCOC(=O)CCCCCC(=O)O*,-62.0
gen_0001,polyesters,*CCCCCCOC(=O)CCCCCCCCC(=O)O*,-58.0
gen_0001,polyesters,*CCOC(=O)CCCCCCCC(=O)O*,-65.0
gen_0001,polyesters,*CCCCOC(=O)CCCC(=O)O*,-55.0
gen_0001,polyesters,*CCCCCCOC(=O)C=CC(=O)O*,-45.0
gen_0001,polyesters,*CCOC(=O)c1ccc(C(=O)O*)cc1,69.0
gen_0001,polyesters,*CCCCOC(=O)c1ccc(C(=O)O*)cc1,30.0
gen_0001,polyesters,*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,4.0
gen_0001,polyesters,*CCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,-20.0
gen_0001,polyesters,*CC(C)OC(=O)c1ccc(C(=O)O*)cc1,45.0
gen_0001,polyesters,*CCOC(=O)c1cccc(C(=O)O*)c1,40.0
gen_0001,polyesters,*CCOC(=O)c1ccccc1C(=O)O*,45.0
gen_0001,polyesters,*OC(=O)c1ccc(C(=O)O*)cc1,90.0
gen_0001,polyesters,*CC(C)(C)OC(=O)c1ccc(C(=O)O*)cc1,60.0
gen_0001,polyesters,*CCC(*)C(=O)OC,20.0
gen_0001,polyesters,*CC(*)C(=O)OC,105.0
gen_0001,polyesters,*CC(*)C(=O)OCC,65.0
gen_0001,polyesters,*CC(*)C(=O)OCCCC,20.0
gen_0001,polyesters,*CC(*)C(=O)OCCCCCCCC,-25.0
gen_0001,polyesters,*CC(*)C(=O)OC(C)(C)C,118.0
gen_0001,polyesters,*CC(*)C(=O)OC1CCCCC1,92.0
gen_0001,polyesters,*CC(*)C(=O)OCC(C)C,40.0
gen_0001,polyesters,*CC(C)(*)C(=O)OC,105.0
gen_0001,polyesters,*OC(=O)c1ccc(cc1)C(=O)OCC(c1ccc(cc1)C(C)(C)c1ccc(O*)cc1),195.0
gen_0001,polyesters,*OCC(C)(C)COC(=O)c1ccccc1C(=O)O*,40.0
gen_0001,polyesters,*OCC1OC(=O)c2ccccc2C1=O,100.0
gen_0001,polyesters,*OC1CCC(CC1)COC(=O)c1ccc(cc1)C(=O)O*,80.0
gen_0001,polyesters,*Oc1ccc(cc1)C(C)(C)c1ccc(OC(=O)c2ccc(cc2)C(=O)*)cc1,220.0
gen_0001,polyesters,*OC1CCCCC1OC(=O)c1ccc(cc1)C(=O)*,88.0
gen_0001,polyesters,*OCCOC(=O)c1ccc(cc1)C(=O)*,69.0
gen_0001,polyesters,*OCCCOC(=O)c1ccc(cc1)C(=O)*,45.0
gen_0001,polyesters,*OCCCCOC(=O)c1ccc(cc1)C(=O)*,30.0
gen_0001,polyesters,*OCCOC(=O)c1cccc(c1)C(=O)*,55.0
gen_0001,polyesters,*OCCOC(=O)c1ccccc1C(=O)*,60.0
gen_0001,polyesters,*OCCOC(=O)c1ccc2ccccc2c1C(=O)*,110.0
gen_0001,polyesters,*OC1=CC=C(C=C1)C(=O)O*,145.0
gen_0001,polyesters,*Oc1ccc(cc1)Oc1ccc(cc1)C(=O)*,155.0
gen_0001,polyesters,*OC1CCCCC1COC(=O)c1ccc(cc1)C(=O)*,65.0
gen_0001,polyesters,*CC(*)(C)C(=O)OCC1CCCCC1,78.0
gen_0001,polyesters,*OC(CCCCC)C(=O)*,-30.0
gen_0001,polyesters,*OCC1(COC(=O)c2ccc(cc2)C(=O)O1)CC,15.0
gen_0001,polyesters,*OCCOc1ccc(cc1)C(=O)*,50.0
gen_0001,polyesters,*OC1CC(C)(C)CC(C)(C1)OC(=O)c1ccc(cc1)C(=O)*,110.0
gen_0001,polyesters,*Oc1ccc(cc1)C(=O)c1ccc(O*)cc1C(=O),150.0
gen_0001,polyesters,*CC(CC)OC(=O)c1ccc(C(=O)O*)cc1,12.0
gen_0001,polyesters,*CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*,-55.0
gen_0001,polyesters,*OC(C)C(=O)*,55.0
gen_0001,polyesters,*OC(C)(C)C(=O)*,65.0
gen_0001,polyesters,*CCOC(=O)c1ccc(cc1)-c1ccc(cc1)C(=O)O*,105.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccccc1,100.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccccc1C,108.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1cccc(C)c1,97.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccc(C)cc1,101.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccc(Cl)cc1,128.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccc(Br)cc1,130.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccc(F)cc1,98.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccccc1Cl,120.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1cc(Cl)ccc1Cl,145.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccc(C(C)(C)C)cc1,145.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccc(OC)cc1,95.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccc(O)cc1,155.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccc(N)cc1,140.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccc([N+](=O)[O-])cc1,195.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccc(C#N)cc1,150.0
gen_0011,polystyrenes and styrene copolymers,*CC(C)(*)c1ccccc1,172.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccccc1F,95.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)(C#N)c1ccccc1,160.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1ccc2ccccc2c1,138.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)c1cccc2ccccc12,150.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)C(=O)OCC,-24.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)C(=O)OC,105.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)(C)C(=O)OC,105.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)C#N,97.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)C(=O)OCCCC,20.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)C(=O)OCC(C)C,25.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)C(=O)OCCCCCCCC,-30.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)Cl,82.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)OC(C)=O,32.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)C(=O)OCCCCCC,-5.0
gen_0011,polystyrenes and styrene copolymers,*CC=CC(*),-102.0
gen_0011,polystyrenes and styrene copolymers,*CC(*)C(=O)O,130.0
