smiles,tg_celsius
*/C(=C(/*)c1cccc(OCC(COC)COCCOC)c1)c1ccc(/N=N/c2ccc(OCC(CC)CCCC)cc2)cc1,40.0
*/C(=C(\C)C=C=*)c1ccccc1Cl,105.0
*/C(=C(\Cl)c1ccc(*)cc1)c1ccc(-n2ccc(=O)[nH]2)cc1,210.0
*/C(=C/C(=*)c1ccccc1)c1ccccc1C(C)(C)C,150.0
*/C(=C/C(=O)Nc1cccc(*)c1)C(C)C,150.0
*/C(=C/C=C/C(=*)OCC(C)C)Oc1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,130.0
*/C(=C/C=C/C=*)CCC#N,45.0
*/C(=C/CP=Cc1ccc(N(*)Cc2ccccc2)cc1)Oc1cc(C(C)C)ccc1Cl,95.0
*/C(=C/c1ccc(*)cc1)Oc1ccc(C#Cc2ccccc2)cc1,150.0
*/C(=N/C(*)C(=O)N(CC)C(C)C)c1ccc(/N=N/c2ccccc2)cc1,145.0
*/C(=N/C(C#N)=C/c1ccc(/N=N/c2ccc(C=*)cc2)cc1)c1ccccn1,210.0
*/C(=N/c1ccccc1/N=C/c1ccc(*)cc1)Oc1c(Cl)ccc(F)c1F,160.0
*/C(=N\C)c1ccc(*)n1CCCC,65.0
*/C(=[SH]/C(=*)C(=O)Nc1ccc(N)cc1)C(=O)OCC,130.0
*/C(C#Cc1ccccc1)=C/c1cccc(*)c1,150.0
*/C(C#N)=C(\C#N)C(=*)COCCOCCOCCOCCOCCOC,-40.0
*/C(C#N)=C(\C#N)[Si](*)(C)c1ccccc1,130.0
*/C(C#N)=C/c1cc(Br)c(*)c(Br)c1Cl,180.0
*/C(C#N)=C/c1cc(OC)c(*)cc1OCC,130.0
*/C(C#N)=C/c1cc(OCC)c(/C=C/c2ccc(*)c(C(C)C)c2)cc1CCCCCC,95.0
*/C(C#N)=C/c1ccc(C(=O)c2ccc([Si](C)(C)[Si](C)(C)C(=O)OC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,240.0
*/C(C)=C(/*)CCCCCCCOC(=O)c1cc(OC(=O)Oc2ccc(C=O)cc2)ccc1O,15.0
*/C(C)=C(/*)CCCCCOC(=O)Nc1ccc(CNC(C)C)cc1,20.0
*/C(C)=C(/*)CCCOC(=O)c1ccc(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,30.0
*/C(C)=C(/*)CCCOCC[Si](C)(C)CCCC,-60.0
*/C(C)=C(/*)CCCOc1ccc(C(=O)Oc2ccc(-c3ccc(O)cc3)cc2)cc1,90.0
*/C(C)=C(/*)CCCOc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,40.0
*/C(C)=C(/*)CCNC(=O)OCCCCCCCCCCCCCCCCCCCN1OCCCCCCC1S,-40.0
*/C(C)=C(/*)CNCCN(CC)NCCNCC,-30.0
*/C(C)=C(/*)c1cc(O)c(OCC(F)(F)C(F)(F)C(F)(F)Cl)cc1Cl,90.0
*/C(C)=C(/*)c1ccc(Cc2ccccc2)cc1,100.0
*/C(C)=C(\C)C(=*)C#C,120.0
*/C(C)=C(\C)C(=O)OCCCCCCOS(=O)(=O)CC(F)(F)CN(*)CCc1ccccc1,-20.0
*/C(C)=C(\C)O[Si](*)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-50.0
*/C(C)=C/c1cc(OCCN(CCCC)[Si](C)(C)C)c(C(=*)C[n+]2ccccc2)c2ccccc12,120.0
*/C(C)=C/c1ccc(N(*)CCCCCCCCCC)nc1,-10.0
*/C(C)=C/c1ccc([Si](*)(C)Oc2ccccc2)cc1,90.0
*/C(C)=N/c1ccc(/C=C/c2ccc(N(*)c3ccc(Br)cc3)cc2)cc1,180.0
*/C(C)=N/c1ccc(C(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,280.0
*/C(F)=C(\F)C(*)(C(=O)O)C(F)(F)F,150.0
*/C([2H])=C(/*)CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-30.0
*/C([2H])=C(/*)OCCCCCC,-55.0
*/C([2H])=C(/*)[Si](C)(CCC)CCCCCC,-80.0
*/C=C(/*)C#CCOc1ccc(OC(=O)c2ccccc2)cc1,65.0
*/C=C(/*)C#CN(C#N)CC#N,120.0
*/C=C(/*)C#C[Si](CC)(CCCC)CCCCCCCCCCC,-60.0
*/C=C(/*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,65.0
*/C=C(/*)C(CC)CCC[Si](C)(C)C,-70.0
*/C=C(/*)C(CO)CCl,45.0
*/C=C(/*)C(COC(C)=O)c1ccc(N(C)C)cc1Br,85.0
*/C=C(/*)C(Cl)(CBr)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,65.0
*/C=C(/*)C(Cl)C([2H])=O,45.0
*/C=C(/*)CC=CCCCN,-50.0
*/C=C(/*)CCC(=O)Nc1ccccc1,45.0
*/C=C(/*)CCC(=O)OCCCCc1ccc(C)cc1,-30.0
*/C=C(/*)CCCCC(=O)Oc1cccc(C(=O)OCC)c1,-20.0
*/C=C(/*)CCCCCCCCCCCCCCCCCCCCCCC,-60.0
*/C=C(/*)CCCCCCCCCCCCCCCCCOCCOCCCCCC,-60.0
*/C=C(/*)CCCCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,10.0
*/C=C(/*)CCCCCCCCCCCCOc1ccc(-c2ccc(OCCCC)cc2)cc1,-20.0
*/C=C(/*)CCCCCCCOc1ccc(CCCCCCCCCCCC)cc1,-55.0
*/C=C(/*)CCCCCCOc1ccc(/C=N/CCCC)cc1,-20.0
*/C=C(/*)CCCCCOc1ccc(-c2ccc(OCC)c(C#N)c2)cc1,30.0
*/C=C(/*)CCCCCOc1ccc(C(=O)c2ccccc2)cc1,-20.0
*/C=C(/*)CCCCCS(=O)(=O)c1ccc([Si](C)(C)C)cc1,-10.0
*/C=C(/*)CCCCC[N+](C)(C)C,-20.0
*/C=C(/*)CCCOC(=O)COc1ccc(OC(=O)Oc2ccc(C(=O)Oc3ccc(C=CC=CC)cc3)cc2)cc1,45.0
*/C=C(/*)CCCOC(=O)c1cccc(C(=O)Oc2ccc(OCCCCCCC(C)C)o2)c1,-20.0
*/C=C(/*)CCCOc1ccc(-c2ccc(C(=O)OC(C)C(=O)OC3CC(C)CC3C(C)C)cc2)cc1,45.0
*/C=C(/*)CCCOc1ccc(-c2ccc(C(=O)Oc3ccc(OCC)cc3)cc2)cc1,60.0
*/C=C(/*)CCCOc1ccc(/N=N/c2ccc(S(=O)(=O)Oc3ccc(OCCCC)cc3)cc2)cc1,45.0
*/C=C(/*)CCCOc1ccc(C(=O)OC(C)CCCC)cc1,-30.0
*/C=C(/*)CCCOc1ccc(OC(=O)c2ccc(OCC(O)COc3ccc(C#N)cc3)cc2)cc1,45.0
*/C=C(/*)CCc1ccc(CCCCCCCCCCCCCCc2ccc(C#N)cc2)cc1,-30.0
*/C=C(/*)CCl,-18.0
*/C=C(/*)CNC(=O)C(C)=C(C#N)CNC(=O)c1ccc(/N=N/c2ccc(/C=C/c3ccccc3)cc2)c2ccccc12,145.0
*/C=C(/*)CNC(=O)C(CCC)CCCCC,-40.0
*/C=C(/*)CNC(=O)NC(C)CC,45.0
*/C=C(/*)CNC(=O)c1ccc(OCCCC)cc1,45.0
*/C=C(/*)CNC(=S)NCCCC,15.0
*/C=C(/*)CNS(C)(C)C,45.0
*/C=C(/*)COC(=O)CCc1ccc(/C=N/c2ccc(C#N)cc2)cc1,65.0
*/C=C(/*)CS(=O)(=O)CC,65.0
*/C=C(/*)CSCCCCCCCC(=O)Nc1ccc(C)cc1,-10.0
*/C=C(/*)Cc1ccc(C(O)CCCCCCC)cc1,-20.0
*/C=C(/*)Cc1ccc(F)c(Br)c1,55.0
*/C=C(/*)Cc1ccccc1,55.0
*/C=C(/*)N(C)c1ccccc1,120.0
*/C=C(/*)OC(Cl)(Cl)C(=O)OC,45.0
*/C=C(/*)OC1CCCCC1,80.0
*/C=C(/*)OCC(C)C,-40.0
*/C=C(/*)OCCCCOC(=O)c1cc(OCC)c(OC)c(F)c1F,-20.0
*/C=C(/*)OCc1ccc(CCOCCCCCCCCOc2ccc(/C=C/c3ccc(C#N)cc3)cc2)cc1,-10.0
*/C=C(/*)SSc1ccc([N+](=O)[O-])cc1,60.0
*/C=C(/*)Sc1ccc(C)nc1,65.0
*/C=C(/*)[Si](C)(CC)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-30.0
*/C=C(/*)[Si](C)(N)CCCCCCCCCC,-60.0
*/C=C(/*)[Si](CCC(=O)OCCCC)C(C)C,-60.0
*/C=C(/*)c1c([2H])ccc(F)c1F,90.0
*/C=C(/*)c1cc(C#N)cc(C(=O)NCCCCCCCC)c1,65.0
*/C=C(/*)c1cc(C(=O)OC(C)(C)C)ccc1O,130.0
*/C=C(/*)c1cc(C(=O)OCCCC)ccc1-c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,130.0
*/C=C(/*)c1cc(C(=O)OCCCCCCCCCC)ccc1-c1ccccc1,15.0
*/C=C(/*)c1cc(C(C)CCC)ccc1Br,65.0
*/C=C(/*)c1cc(C(F)(F)F)c(Br)cc1Cl,130.0
*/C=C(/*)c1cc(C)c([N+](=O)[O-])cc1C,130.0
*/C=C(/*)c1cc(F)ccc1Br,105.0
*/C=C(/*)c1cc(F)ccc1OCCCCCCCCCCCC,-30.0
*/C=C(/*)c1cc(O)c(S(=O)(=O)O)c(NC(=O)OC)c1,190.0
*/C=C(/*)c1cc(OCCCC)c(-c2ccc(CCCCCC)cc2)cc1OCCCCCCCCCCCC,-20.0
*/C=C(/*)c1cc(OCCCC)ccc1C(=O)Nc1ccc(/N=N/c2ccc(Cl)cc2)cc1,130.0
*/C=C(/*)c1cc(OCCOCCOCCCCCCCCC)ccc1C(CCCC)OCC,-40.0
*/C=C(/*)c1ccc(B)c(C)c1,110.0
*/C=C(/*)c1ccc(C(=O)OC(C)C)cc1,90.0
*/C=C(/*)c1ccc(C(=O)OCCCCCCC)cc1,-20.0
*/C=C(/*)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,150.0
*/C=C(/*)c1ccc(C=N)cc1CCCC,65.0
*/C=C(/*)c1ccc(COCCCCCBr)cc1,45.0
*/C=C(/*)c1ccc(COCCCCCCC)cc1,-20.0
*/C=C(/*)c1ccc(COCCOCCOCCOCCOCCOCCOC)cc1,-30.0
*/C=C(/*)c1ccc(Cc2ccc(C#C[Si](C)(C)C)cc2)cc1,90.0
*/C=C(/*)c1ccc(Cc2ccc(I)cc2)cc1,110.0
*/C=C(/*)c1ccc(Cc2ccc([N+](=O)[O-])cc2)c(C)c1,130.0
*/C=C(/*)c1ccc(OCCC(CC)CCC)cc1,-20.0
*/C=C(/*)c1ccc([Si](C)(C)CC#N)cc1,90.0
*/C=C(/*)c1ccc([Si](C)(C)S)cc1,80.0
*/C=C(/*)c1cccc(COCCC(C)C)c1,20.0
*/C=C(/*)c1ccccc1C(=O)OCCCCC,35.0
*/C=C(/*)c1ccccc1I,120.0
*/C=C(/*)c1ccccc1OCCCCCCCCC,-20.0
*/C=C(/C(C)(C)C)[Si](*)(C)C,45.0
*/C=C(/C=C/C(*)=O)CC(C)C,45.0
*/C=C(/N=N/c1ccc(Cl)cc1)C(*)c1cccc(C(F)(F)F)c1,145.0
*/C=C(\C#CCc1ccc(-c2ccc(*)cc2)cc1)c1ccc(O)cc1,130.0
*/C=C(\C#N)C(*)C#Cc1ccccc1OCCCCCC,65.0
*/C=C(\C#N)C(*)C(=O)OCCCC,45.0
*/C=C(\C#N)C(=O)/C=C/CC(C)=C(C)CC(=O)O*,45.0
*/C=C(\C#N)C(=O)N(*)C,150.0
*/C=C(\C#N)C(=O)Nc1ccccc1-c1ccc(N(*)CC)cc1,180.0
*/C=C(\C#N)C(=O)OCCCCC[Si](*)(C)C(C)C,-30.0
*/C=C(\C#N)C(=O)OCCCCOC(=O)c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(C(=O)NNC(*)=O)cc2)cc1,140.0
*/C=C(\C#N)C(CCCC)(CC(*)C#N)C(C)(CC#N)CSC,85.0
*/C=C(\C#N)CCCC#SC[Si](C)(C)CCCCCCOc1ccc(-c2ccc(-c3ccc(/C=C/c4ccc(*)cc4)cc3)cc2)cc1,65.0
*/C=C(\C#N)CNC(=O)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,85.0
*/C=C(\C#N)COc1ccc(/C=C/c2ccc(/C=N/c3ccc(*)cc3)cc2)cc1,145.0
*/C=C(\C#N)N(CCSCC(=O)NNC(=O)C(CCCCCCCC)C(C)CCC(=O)N*)OC(=O)NC,25.0
*/C=C(\C#N)NC(=O)CCCCCCCCCCOC(=O)O*,-20.0
*/C=C(\C#N)OC(=O)c1ccccc1C(=O)O*,130.0
*/C=C(\C#N)[Si](*)(CCCC)CCCCCC,-30.0
*/C=C(\C#N)[Si](C)(C)C(=O)N/C=C/C(=O)C(C)OCCCCCCOC(=O)CCCCC(=O)O*,-20.0
*/C=C(\C#N)c1ccc([Si](*)(C)[Si](CC)(CC)CC)cc1,90.0
*/C=C(\C#N)c1ccccc1O[Si](C)(C)CCC(=O)O*,45.0
*/C=C(\C#P)N(CCCCCCCC#N)c1ccc(/C=C/c2ccc(*)s2)s1,45.0
*/C=C(\C)C(=*)COCCCCCCOc1ccc(-c2ccc(C)cc2)cc1,30.0
*/C=C(\C)C(C#N)CC*,90.0
*/C=C(\C)C(C(*)=O)C(F)(F)F,120.0
*/C=C(\C)C1C=CC(OC(=O)c2ccc(CSC(=O)O*)cc2)C1,65.0
*/C=C(\C)O[Si](C)(C)c1ccc(*)cc1,30.0
*/C=C(\C)c1ccc(*)cc1C,130.0
*/C=C(\CCCCCC)C(*)(CC(=O)OCCCCCCCCC)C(=O)OCCCOCCN(C)CC,-55.0
