custom_id,smiles,echoed_smiles,tg_celsius
lab_00005,*CC(*)(C)Cc1cccc(C)c1,*CC(*)(C)Cc1cccc(C)c1,90.0
lab_00028,*CCCCCCCCCCCCCC/C=C/CCCCCCCS*,*CCCCCCCCCCCCCC/C=C/CCCCCCCS*,-60.0
lab_00036,*C/C=C/C=C(*)c1ccc([N+](=O)[O-])cc1,*C/C=C/C=C(*)c1ccc([N+](=O)[O-])cc1,110.0
lab_00065,*CC(C)C(C=C=C(*)C#N)c1ccccc1,*CC(C)C(C=C=C(*)C#N)c1ccccc1,130.0
lab_00024,*C(=O)c1ccc(C(=O)Nc2ccc(S(=O)(=O)c3ccc(N(C)C(=O)c4ccc(*)cc4)cc3)cc2)cc1,*C(=O)c1ccc(C(=O)Nc2ccc(S(=O)(=O)c3ccc(N(C)C(=O)c4ccc(*)cc4)cc3)cc2)cc1,260.0
lab_00085,*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(F)c2F)cc1Br,*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(F)c2F)cc1Br,190.0
lab_00043,*CC(O)COc1ccc(C(=O)Oc2ccc(C(=O)OCC(=O)Oc3ccc(O*)c(OC)c3)cc2)cc1,*CC(O)COc1ccc(C(=O)Oc2ccc(C(=O)OCC(=O)Oc3ccc(O*)c(OC)c3)cc2)cc1,65.0
lab_00094,*CCCCCCOCCCCCOC(=O)CCCC(=O)O*,*CCCCCCOCCCCCOC(=O)CCCC(=O)O*,-55.0
lab_00052,*/C=C/C(C)CCCCSCCCCC(*)=O,*/C=C/C(C)CCCCSCCCCC(*)=O,-40.0
lab_00095,*CCN(CCOC(=O)c1ccc(C(=O)Nc2ccc(*)cc2)cc1)CCOC(=O)c1cnc(Cl)c(O)c1,*CCN(CCOC(=O)c1ccc(C(=O)Nc2ccc(*)cc2)cc1)CCOC(=O)c1cnc(Cl)c(O)c1,110.0
lab_00022,*CCCCCCSNC(=O)c1cc(C(C)(C)C)ccc1C(=O)O*,*CCCCCCSNC(=O)c1cc(C(C)(C)C)ccc1C(=O)O*,45.0
lab_00098,*NC(C)C(=O)NC(CC(=O)NCc1ccccc1)C(=*)NCCCCCCCCCCOc1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,*NC(C)C(=O)NC(CC(=O)NCc1ccccc1)C(=*)NCCCCCCCCCCOc1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,95.0
lab_00035,*CCCCCCCCCCCCOc1ccc(C(=O)c2ccc(Oc3ccc(/C=C/c4ccc(O*)cc4)cc3)cc2)cc1,*CCCCCCCCCCCCOc1ccc(C(=O)c2ccc(Oc3ccc(/C=C/c4ccc(O*)cc4)cc3)cc2)cc1,15.0
lab_00003,*c1ccc(OCCCCC(=O)Nc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c(C)c2)cc1C,*c1ccc(OCCCCC(=O)Nc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c(C)c2)cc1C,265.0
lab_00011,*CCCCCC#CCOC(=O)C/C(=C/C(=O)O*)c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,*CCCCCC#CCOC(=O)C/C(=C/C(=O)O*)c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,45.0
lab_00023,*CC(COC)OCCCCOC(=O)c1ccc(OCCCNC(*)=O)cc1,*CC(COC)OCCCCOC(=O)c1ccc(OCCCNC(*)=O)cc1,-20.0
lab_00080,*CCCC(*)CCCCCOc1ccc(C(=O)OCCCC)cc1,*CCCC(*)CCCCCOc1ccc(C(=O)OCCCC)cc1,-40.0
lab_00020,*CCCCCCCNC(=O)c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(C(=O)NCCCCCCCCCCNC(=O)c3ccc(C(=O)N*)cc3)cc2)cc1,*CCCCCCCNC(=O)c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(C(=O)NCCCCCCCCCCNC(=O)c3ccc(C(=O)N*)cc3)cc2)cc1,65.0
lab_00042,*Oc1ccc(Oc2ccc(Oc3ccc(OC(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,*Oc1ccc(Oc2ccc(Oc3ccc(OC(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,120.0
lab_00089,*/C(=C(\Cl)c1ccc(*)cc1)c1ccc(-n2ccc(=O)[nH]2)cc1,,210.0
lab_00060,*CC(CO*)(COCC#N)CC(C)C,*CC(CO*)(COCC#N)CC(C)C,-25.0
