experiment,training_data,n_train,model,seed,n_test,mae,rmse,r2,spearman
0,none (zero-shot Claude),0,claude-sonnet-5,,1435,38.19249825783972,51.02615655938625,0.7843279289216121,0.9057153993876886
1,real,5739,molformer,42.0,1435,26.75802633767509,36.98962731467688,0.8866639413372337,0.9487618233703757
1,real,5739,molformer,43.0,1435,24.619680253826186,35.09835851859256,0.8979573317754745,0.9546817172799652
1,real,5739,molformer,44.0,1435,24.795724537634534,35.06397974099051,0.8981571350856566,0.953279250177205
1,real,5739,molformer,45.0,1435,29.174454528402336,38.89859162767307,0.8746639657021262,0.9521997691113361
1,real,5739,molformer,46.0,1435,24.7240704992343,35.81075587924641,0.8937729379018533,0.9544125774778044
1,real,5739,random_forest,42.0,1435,24.76764926785849,36.43109838030393,0.8900607614136686,0.9481633894482951
1,real,5739,random_forest,43.0,1435,24.701924056608984,36.27977465381325,0.8909721730755973,0.9485022010831055
1,real,5739,random_forest,44.0,1435,24.8103460980072,36.463572800883995,0.8898646759557985,0.9479225097933636
1,real,5739,random_forest,45.0,1435,24.8296522507204,36.40248301295891,0.8902334005225334,0.9480283179970397
1,real,5739,random_forest,46.0,1435,24.847623097269402,36.56455424319889,0.8892538184335903,0.947949752715427
2,generated,8396,molformer,42.0,1435,35.99234545812782,50.01205826528239,0.7928153140792243,0.9108541309736194
2,generated,8396,molformer,43.0,1435,35.608629310539555,49.05485362568487,0.8006702313397372,0.9105930440455089
2,generated,8396,molformer,44.0,1435,36.31844628077471,50.85504684305661,0.7857719613021663,0.905103298687625
2,generated,8396,molformer,45.0,1435,35.93526178013913,49.50935178481867,0.7969594996934715,0.908724342743635
2,generated,8396,molformer,46.0,1435,36.557371939106034,50.471293617395666,0.7889929009785478,0.9032654362791135
2,generated,8396,random_forest,42.0,1435,44.54265803228087,60.9575845599469,0.6922034880468092,0.8619750843533912
2,generated,8396,random_forest,43.0,1435,44.49323030049921,60.97126973555475,0.6920652699011987,0.8621148409927071
2,generated,8396,random_forest,44.0,1435,44.48803815890173,61.010280126158996,0.6916711007425865,0.8617797847257632
2,generated,8396,random_forest,45.0,1435,44.57121331569886,61.07038646129468,0.6910632802545942,0.8615709126492086
2,generated,8396,random_forest,46.0,1435,44.45008107974238,60.956948092504234,0.6922099155139576,0.8619159364255667
3,labeled,9933,molformer,42.0,1435,38.759053329803564,51.243535423890464,0.7824864258050789,0.9057326472415255
3,labeled,9933,molformer,43.0,1435,39.74138104850672,52.93205222503466,0.7679157552216598,0.9040446564130767
3,labeled,9933,molformer,44.0,1435,38.30306283841094,50.81651690618962,0.7860964547971243,0.9074706771592572
3,labeled,9933,molformer,45.0,1435,38.63099224545139,53.609968316172186,0.7619329472214245,0.8909056370623278
3,labeled,9933,molformer,46.0,1435,38.158641679733755,51.17757712679582,0.7830460121625438,0.9059401275312592
3,labeled,9933,random_forest,42.0,1435,46.17246249172409,61.45164747374812,0.6871938699049394,0.86074837278158
3,labeled,9933,random_forest,43.0,1435,46.18573687653013,61.4359284354829,0.6873538780692969,0.8607922347421475
3,labeled,9933,random_forest,44.0,1435,46.26137888769009,61.50522102329639,0.6866482233593953,0.8607843698529912
3,labeled,9933,random_forest,45.0,1435,46.15122126801895,61.43814757445144,0.6873312913601597,0.8607947093035253
3,labeled,9933,random_forest,46.0,1435,46.16593227498541,61.393665800795105,0.6877838773998097,0.8609877422162642
4,real + generated,14135,molformer,42.0,1435,26.00547636649192,36.12724907233449,0.8918869845009716,0.950069101684563
4,real + generated,14135,molformer,43.0,1435,26.80217798209904,37.62257306025844,0.8827520703146821,0.9530968158283214
4,real + generated,14135,molformer,44.0,1435,28.511393750887954,39.68800619862644,0.8695251644604161,0.95069407755495
4,real + generated,14135,molformer,45.0,1435,28.034956669216687,37.65299698835263,0.8825623658581718,0.9511289053922825
4,real + generated,14135,molformer,46.0,1435,26.763201533674824,38.112988803329635,0.8796754603004983,0.9522314364395481
4,real + generated,14135,random_forest,42.0,1435,25.27079583336179,37.005923280035645,0.8865640578047406,0.9460526670555655
4,real + generated,14135,random_forest,43.0,1435,25.205537477648353,36.985698546472875,0.8866880155163612,0.9462680945062785
4,real + generated,14135,random_forest,44.0,1435,25.266137192921214,36.976367471069956,0.8867451829804089,0.9463319550670912
4,real + generated,14135,random_forest,45.0,1435,25.138020531164685,36.797176966886624,0.887840207478477,0.946912347035184
4,real + generated,14135,random_forest,46.0,1435,25.175518401739275,36.92491879788227,0.8870601277288259,0.9466266060013998
5,real + labeled,15672,molformer,42.0,1435,27.59034772591868,38.70489530926969,0.8759090845184723,0.9516929172388732
5,real + labeled,15672,molformer,43.0,1435,24.562684341156295,34.76920757127924,0.8998622613226709,0.9532586591041481
5,real + labeled,15672,molformer,44.0,1435,25.447888455589574,35.39261432935264,0.8962391593437071,0.953787511201103
5,real + labeled,15672,molformer,45.0,1435,27.29885569430188,37.663605303314014,0.8824961830303332,0.9492564436459453
5,real + labeled,15672,molformer,46.0,1435,25.974655355278095,36.16470851108456,0.8916626689174897,0.9533834888043159
5,real + labeled,15672,random_forest,42.0,1435,26.305648163397443,39.637397547858775,0.8698577054958734,0.938398051647749
5,real + labeled,15672,random_forest,43.0,1435,26.357684886875482,39.523900749951316,0.8706019312788037,0.9384038222659578
5,real + labeled,15672,random_forest,44.0,1435,26.248207175370577,39.490828197145426,0.8708183944255712,0.9384714513935691
5,real + labeled,15672,random_forest,45.0,1435,26.153334514720655,39.28849695112925,0.8721387272084143,0.9391711256532478
5,real + labeled,15672,random_forest,46.0,1435,26.301989737986435,39.4417342817985,0.8711393848417439,0.9385063512478156
6,small real (500),500,molformer,42.0,1435,36.73111905123909,49.23207619636121,0.7992273753206179,0.905446240258093
6,small real (500),500,molformer,43.0,1435,34.51555186946179,47.001297146368564,0.8170097788517803,0.9191142335344509
6,small real (500),500,molformer,44.0,1435,34.85077453395429,47.05319021448384,0.8166054850682174,0.9144989539524746
6,small real (500),500,molformer,45.0,1435,37.28228727016417,49.522163554500324,0.7968544025912633,0.8997330591177151
6,small real (500),500,molformer,46.0,1435,40.04815058226797,52.288003695495966,0.7735291465018326,0.9069879351774834
6,small real (500),500,random_forest,42.0,1435,38.52097869313845,52.66298803393109,0.770269219534738,0.8794624121808584
6,small real (500),500,random_forest,43.0,1435,38.191151287705324,52.01484499809297,0.7758891866841486,0.8850548663492909
6,small real (500),500,random_forest,44.0,1435,39.12742103213619,52.91028778850463,0.7681065713392292,0.8796910844442679
6,small real (500),500,random_forest,45.0,1435,39.04345449599027,52.76445398546585,0.7693831206371204,0.8804429025581237
6,small real (500),500,random_forest,46.0,1435,39.41605996924871,53.708469565688176,0.7610573098742506,0.8772422973990176
7,small real + generated,8896,molformer,42.0,1435,33.73265038135971,46.53201549086842,0.8206456466859091,0.9249065505077178
