experiment,model,seed,train_seconds
1,molformer,42,404
1,random_forest,42,85
2,molformer,42,404
2,random_forest,42,123
3,molformer,42,547
3,random_forest,42,202
4,molformer,42,898
4,random_forest,42,275
5,molformer,42,996
5,random_forest,42,361
6,molformer,42,46
6,random_forest,42,4
7,molformer,42,460
7,random_forest,42,138
8,molformer,42,3597
8,random_forest,42,217
1,random_forest,43,83
1,molformer,43,403
2,random_forest,43,123
2,molformer,43,404
3,random_forest,43,202
3,molformer,43,545
4,random_forest,43,276
4,molformer,43,890
5,random_forest,43,361
5,molformer,43,992
6,random_forest,43,4
6,molformer,43,45
7,random_forest,43,138
7,molformer,43,457
8,random_forest,43,216
8,molformer,43,590
1,random_forest,44,82
1,molformer,44,403
2,random_forest,44,124
2,molformer,44,400
3,random_forest,44,203
3,molformer,44,546
4,random_forest,44,277
4,molformer,44,965
5,random_forest,44,365
5,molformer,44,996
6,random_forest,44,4
6,molformer,44,46
7,random_forest,44,138
7,molformer,44,460
8,random_forest,44,219
8,molformer,44,592
1,random_forest,45,82
1,molformer,45,402
2,random_forest,45,124
2,molformer,45,402
3,random_forest,45,204
3,molformer,45,1515
4,random_forest,45,286
4,molformer,45,896
5,random_forest,45,363
5,molformer,45,994
6,random_forest,45,4
6,molformer,45,45
7,random_forest,45,8457
7,molformer,45,518
8,random_forest,45,293
8,molformer,45,633
1,random_forest,46,112
1,molformer,46,418
2,random_forest,46,166
2,molformer,46,460
3,random_forest,46,270
3,molformer,46,589
4,random_forest,46,363
4,molformer,46,939
5,random_forest,46,483
5,molformer,46,1044
6,random_forest,46,6
6,molformer,46,46
7,random_forest,46,186
7,molformer,46,507
8,random_forest,46,293
8,molformer,46,633
